11,32,"{'Left': 406, 'Top': 276, 'Right': 837, 'Bottom': 312, 'title': 'The XtraLayoutControl', 'auto_id': 'lcMain', 'control_type': 'Pane', 'found_index': 0}"
12,33,"{'Left': 416, 'Top': 278, 'Right': 619, 'Bottom': 310, 'title': 'Flow Type:', 'auto_id': 'lblTitle', 'control_type': 'Text', 'found_index': 0}"
12,34,"{'Left': 623, 'Top': 278, 'Right': 835, 'Bottom': 310, 'title': 'Wet', 'auto_id': '134094', 'control_type': 'List', 'found_index': 0}"
13,35,"{'Left': 627, 'Top': 282, 'Right': 729, 'Bottom': 306, 'title': 'Wet', 'auto_id': None, 'control_type': 'RadioButton', 'found_index': 0}"
13,36,"{'Left': 729, 'Top': 282, 'Right': 831, 'Bottom': 306, 'title': 'Dry', 'auto_id': None, 'control_type': 'RadioButton', 'found_index': 0}"
12,37,"{'Left': 406, 'Top': 276, 'Right': 837, 'Bottom': 312, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
13,38,"{'Left': 621, 'Top': 276, 'Right': 837, 'Bottom': 312, 'title': 'lcgColumnContainer', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
10,39,"{'Left': 406, 'Top': 316, 'Right': 837, 'Bottom': 317, 'title': None, 'auto_id': 'ExclMultipleChoiceInputControl', 'control_type': 'Pane', 'found_index': 0}"
11,40,"{'Left': 406, 'Top': 316, 'Right': 837, 'Bottom': 317, 'title': 'The XtraLayoutControl', 'auto_id': 'lcMain', 'control_type': 'Pane', 'found_index': 0}"
12,41,"{'Left': 406, 'Top': 316, 'Right': 837, 'Bottom': 317, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
10,42,"{'Left': 404, 'Top': 204, 'Right': 839, 'Bottom': 319, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
11,43,"{'Left': 404, 'Top': 239, 'Right': 839, 'Bottom': 319, 'title': 'lcgContents', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
11,44,"{'Left': 404, 'Top': 237, 'Right': 839, 'Bottom': 238, 'title': 'simpleSeparator1', 'auto_id': None, 'control_type': 'Separator', 'found_index': 0}"
11,45,"{'Left': 404, 'Top': 204, 'Right': 839, 'Bottom': 237, 'title': 'lcgTitleBar', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
12,46,"{'Left': 533, 'Top': 204, 'Right': 815, 'Bottom': 237, 'title': 'esiTitleAndButton', 'auto_id': None, 'control_type': 'Custom', 'found_index': 0}"
11,47,"{'Left': 404, 'Top': 238, 'Right': 839, 'Bottom': 239, 'title': 'lcgLine', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
8,48,"{'Left': 404, 'Top': 323, 'Right': 839, 'Bottom': 433, 'title': None, 'auto_id': 'TitleContainer', 'control_type': 'Pane', 'found_index': 0}"
9,49,"{'Left': 404, 'Top': 323, 'Right': 839, 'Bottom': 433, 'title': 'The XtraLayoutControl', 'auto_id': 'mainContainerTitleContainer', 'control_type': 'Pane', 'found_index': 0}"
10,50,"{'Left': 815, 'Top': 328, 'Right': 839, 'Bottom': 352, 'title': None, 'auto_id': 'sbHideUnhide', 'control_type': 'Button', 'found_index': 0}"
10,51,"{'Left': 409, 'Top': 328, 'Right': 454, 'Bottom': 346, 'title': 'Fluids', 'auto_id': 'titleLabelTitleContainer', 'control_type': 'Text', 'found_index': 0}"
10,52,"{'Left': 406, 'Top': 360, 'Right': 837, 'Bottom': 396, 'title': None, 'auto_id': 'ExclMultipleChoiceInputControl', 'control_type': 'Pane', 'found_index': 0}"
11,53,"{'Left': 406, 'Top': 360, 'Right': 837, 'Bottom': 396, 'title': 'The XtraLayoutControl', 'auto_id': 'lcMain', 'control_type': 'Pane', 'found_index': 0}"
12,54,"{'Left': 416, 'Top': 362, 'Right': 619, 'Bottom': 394, 'title': 'Process Fluid:', 'auto_id': 'lblTitle', 'control_type': 'Text', 'found_index': 0}"
12,55,"{'Left': 623, 'Top': 362, 'Right': 835, 'Bottom': 394, 'title': 'Air', 'auto_id': '68594', 'control_type': 'List', 'found_index': 0}"
13,56,"{'Left': 627, 'Top': 366, 'Right': 729, 'Bottom': 390, 'title': 'Air', 'auto_id': None, 'control_type': 'RadioButton', 'found_index': 0}"
13,57,"{'Left': 729, 'Top': 366, 'Right': 831, 'Bottom': 390, 'title': 'Nitrogen', 'auto_id': None, 'control_type': 'RadioButton', 'found_index': 0}"
12,58,"{'Left': 406, 'Top': 360, 'Right': 837, 'Bottom': 396, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
13,59,"{'Left': 621, 'Top': 360, 'Right': 837, 'Bottom': 396, 'title': 'lcgColumnContainer', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
10,60,"{'Left': 406, 'Top': 400, 'Right': 837, 'Bottom': 401, 'title': None, 'auto_id': 'ExclMultipleChoiceInputControl', 'control_type': 'Pane', 'found_index': 0}"
11,61,"{'Left': 406, 'Top': 400, 'Right': 837, 'Bottom': 401, 'title': 'The XtraLayoutControl', 'auto_id': 'lcMain', 'control_type': 'Pane', 'found_index': 0}"
12,62,"{'Left': 406, 'Top': 400, 'Right': 837, 'Bottom': 401, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
10,63,"{'Left': 406, 'Top': 405, 'Right': 837, 'Bottom': 431, 'title': None, 'auto_id': 'SimpleInputControl', 'control_type': 'Pane', 'found_index': 0}"
11,64,"{'Left': 406, 'Top': 405, 'Right': 837, 'Bottom': 431, 'title': 'The XtraLayoutControl', 'auto_id': 'mainSimpleInputControl', 'control_type': 'Pane', 'found_index': 0}"
12,65,"{'Left': 674, 'Top': 407, 'Right': 755, 'Bottom': 429, 'title': None, 'auto_id': 'cbeSelectableValues', 'control_type': 'ComboBox', 'found_index': 0}"
13,66,"{'Left': 738, 'Top': 408, 'Right': 754, 'Bottom': 428, 'title': 'Open', 'auto_id': None, 'control_type': 'Button', 'found_index': 0}"
14,68,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': '%', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
12,69,"{'Left': 416, 'Top': 407, 'Right': 670, 'Bottom': 429, 'title': 'Glycol Percentage (Water - ZR screw only):', 'auto_id': 'lblInputTitle', 'control_type': 'Text', 'found_index': 0}"
12,70,"{'Left': 759, 'Top': 407, 'Right': 835, 'Bottom': 429, 'title': None, 'auto_id': 'textEditSimpleInputControl', 'control_type': 'Edit', 'found_index': 0}"
13,71,"{'Left': 765, 'Top': 410, 'Right': 829, 'Bottom': 426, 'title': None, 'auto_id': '68630', 'control_type': 'Edit', 'found_index': 0}"
12,72,"{'Left': 406, 'Top': 405, 'Right': 837, 'Bottom': 431, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
10,73,"{'Left': 404, 'Top': 323, 'Right': 839, 'Bottom': 433, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
11,74,"{'Left': 404, 'Top': 358, 'Right': 839, 'Bottom': 433, 'title': 'lcgContents', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
11,75,"{'Left': 404, 'Top': 356, 'Right': 839, 'Bottom': 357, 'title': 'simpleSeparator1', 'auto_id': None, 'control_type': 'Separator', 'found_index': 0}"
11,76,"{'Left': 404, 'Top': 323, 'Right': 839, 'Bottom': 356, 'title': 'lcgTitleBar', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
12,77,"{'Left': 459, 'Top': 323, 'Right': 815, 'Bottom': 356, 'title': 'esiTitleAndButton', 'auto_id': None, 'control_type': 'Custom', 'found_index': 0}"
11,78,"{'Left': 404, 'Top': 357, 'Right': 839, 'Bottom': 358, 'title': 'lcgLine', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
8,79,"{'Left': 404, 'Top': 437, 'Right': 839, 'Bottom': 502, 'title': None, 'auto_id': 'TitleContainer', 'control_type': 'Pane', 'found_index': 0}"
9,80,"{'Left': 404, 'Top': 437, 'Right': 839, 'Bottom': 502, 'title': 'The XtraLayoutControl', 'auto_id': 'mainContainerTitleContainer', 'control_type': 'Pane', 'found_index': 0}"
10,81,"{'Left': 815, 'Top': 442, 'Right': 839, 'Bottom': 466, 'title': None, 'auto_id': 'sbHideUnhide', 'control_type': 'Button', 'found_index': 0}"
10,82,"{'Left': 409, 'Top': 442, 'Right': 523, 'Bottom': 460, 'title': 'Search Criteria', 'auto_id': 'titleLabelTitleContainer', 'control_type': 'Text', 'found_index': 0}"
10,83,"{'Left': 406, 'Top': 474, 'Right': 837, 'Bottom': 500, 'title': None, 'auto_id': 'SimpleInputControl', 'control_type': 'Pane', 'found_index': 0}"
11,84,"{'Left': 406, 'Top': 474, 'Right': 837, 'Bottom': 500, 'title': 'The XtraLayoutControl', 'auto_id': 'mainSimpleInputControl', 'control_type': 'Pane', 'found_index': 0}"
12,85,"{'Left': 674, 'Top': 476, 'Right': 755, 'Bottom': 498, 'title': None, 'auto_id': 'cbeSelectableValues', 'control_type': 'ComboBox', 'found_index': 0}"
13,86,"{'Left': 738, 'Top': 477, 'Right': 754, 'Bottom': 497, 'title': 'Open', 'auto_id': None, 'control_type': 'Button', 'found_index': 0}"
14,88,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': '%', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
12,89,"{'Left': 416, 'Top': 476, 'Right': 670, 'Bottom': 498, 'title': 'Suggest Flow Margin:', 'auto_id': 'lblInputTitle', 'control_type': 'Text', 'found_index': 0}"
12,90,"{'Left': 759, 'Top': 476, 'Right': 835, 'Bottom': 498, 'title': None, 'auto_id': 'textEditSimpleInputControl', 'control_type': 'Edit', 'found_index': 0}"
13,91,"{'Left': 765, 'Top': 479, 'Right': 829, 'Bottom': 495, 'title': None, 'auto_id': '68670', 'control_type': 'Edit', 'found_index': 0}"
12,92,"{'Left': 406, 'Top': 474, 'Right': 837, 'Bottom': 500, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
10,93,"{'Left': 404, 'Top': 437, 'Right': 839, 'Bottom': 502, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
11,94,"{'Left': 404, 'Top': 472, 'Right': 839, 'Bottom': 502, 'title': 'lcgContents', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
11,95,"{'Left': 404, 'Top': 470, 'Right': 839, 'Bottom': 471, 'title': 'simpleSeparator1', 'auto_id': None, 'control_type': 'Separator', 'found_index': 0}"
